event,time
Parte 1,20:39:46
Pedagogical Page Open Time,20:39:46
Pedagogical Page Close Time,20:40:08
Pedagogical2 Page Open Time,20:40:08
Pedagogical2 Page Close Time,20:40:09
Parte 2,20:40:09
Multiplechoice Page Open Time,20:40:09
Multiplechoice Page Close Time,20:40:18
Pedagogical Page Open Time,20:40:18
Pedagogical Page Close Time,20:40:19
Parte 3,20:40:19
Draganddrop Page Open Time,20:40:19
Draganddrop Page Close Time,20:40:47
Pedagogical Page Open Time,20:40:47
Pedagogical Page Close Time,20:40:48
Parte 4,20:40:48
Multiplechoice Page Open Time,20:40:48
Multiplechoice Page Close Time,20:40:59
Draganddrop Page Open Time,20:40:59
Draganddrop Page Close Time,20:41:10
Parte 5,20:41:10
Pedagogical Page Open Time,20:41:10
Pedagogical Page Close Time,20:41:11
Pedagogical2 Page Open Time,20:41:11
Pedagogical2 Page Close Time,20:41:12
Parte 6,20:41:12
Pedagogical Page Open Time,20:41:12
Pedagogical Page Close Time,20:41:13

Parte 1,16:03:40
Pedagogical Page Open Time,16:03:40
Pedagogical Page Close Time,16:03:42
Pedagogical2 Page Open Time,16:03:42
Pedagogical2 Page Close Time,16:03:42
Parte 2,16:03:42
Multiplechoice Page Open Time,16:03:42
Multiplechoice Page Close Time,16:03:48
Pedagogical Page Open Time,16:03:48
Pedagogical Page Close Time,16:03:49
Parte 3,16:03:49
Draganddrop Page Open Time,16:03:49
Draganddrop Page Close Time,16:03:55
Pedagogical Page Open Time,16:03:55
Pedagogical Page Close Time,16:03:56
Parte 4,16:03:56
Multiplechoice Page Open Time,16:03:56
Multiplechoice Page Close Time,16:04:02
Draganddrop Page Open Time,16:04:02
Draganddrop Page Close Time,16:04:16
Parte 5,16:04:16
Pedagogical Page Open Time,16:04:16
Pedagogical Page Close Time,16:04:17
Pedagogical2 Page Open Time,16:04:17
Pedagogical2 Page Close Time,16:04:18
Parte 6,16:04:18
Pedagogical Page Open Time,16:04:18
Pedagogical Page Close Time,16:04:19

